Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Mark T. Sullivan,https://images.gr-assets.com/books/1485303988l/32487617.jpg,Beneath a Scarlet Sky,4.42 avg rating,"122,744 ratings",published 2017," Based on the true story of a forgotten hero, Beneath a Scarlet Sky is the triumphant, epic tale of one young man’s incredible courage and resilience during one of history’s darkest hours. Pino Lella wants nothing to do with the war or the Nazis. He’s a normal Italian teenager—obsessed with music, fn  n  Based on the true story of a forgotten hero, Beneath a Scarlet Sky is the triumphant, epic tale of one young man’s incredible courage and resilience during one of history’s darkest hours.nPino Lella wants nothing to do with the war or the Nazis. He’s a normal Italian teenager—obsessed with music, food, and girls—but his days of innocence are numbered. When his family home in Milan is destroyed by Allied bombs, Pino joins an underground railroad helping Jews escape over the Alps, and falls for Anna, a beautiful widow six years his senior.In an attempt to protect him, Pino’s parents force him to enlist as a German soldier—a move they think will keep him out of combat. But after Pino is injured, he is recruited at the tender age of eighteen to become the personal driver for Adolf Hitler’s left hand in Italy, General Hans Leyers, one of the Third Reich’s most mysterious and powerful commanders.Now, with the opportunity to spy for the Allies inside the German High Command, Pino endures the horrors of the war and the Nazi occupation by fighting in secret, his courage bolstered by his love for Anna and for the life he dreams they will one day share.Fans of All the Light We Cannot See, The Nightingale, and Unbroken will enjoy this riveting saga of history, suspense, and love.",historical-fiction
Khaled Hosseini,https://images.gr-assets.com/books/1522162108l/38664775.jpg,Sea Prayer,4.08 avg rating,"11,185 ratings",published 2018,"The #1 New York Times-bestselling author of The Kite Runner, A Thousand Splendid Suns, and And the Mountains Echoed responds to the heartbreak of the current refugee crisis with this deeply moving, beautifully illustrated short work of fiction for people of all ages, all over the world. A short, pown  The #1 New York Times-bestselling author of The Kite Runner, A Thousand Splendid Suns, and And the Mountains Echoed responds to the heartbreak of the current refugee crisis with this deeply moving, beautifully illustrated short work of fiction for people of all ages, all over the world. A short, powerful, illustrated book written by beloved novelist Khaled Hosseini in response to the current refugee crisis, Sea Prayer is composed in the form of a letter, from a father to his son, on the eve of their journey. Watching over his sleeping son, the father reflects on the dangerous sea-crossing that lies before them. It is also a vivid portrait of their life in Homs, Syria, before the war, and of that city's swift transformation from a home into a deadly war zone.  Impelled to write this story by the haunting image of young Alan Kurdi, the three-year-old Syrian boy whose body washed upon the beach in Turkey in September 2015, Hosseini hopes to pay tribute to the millions of families, like Kurdi's, who have been splintered and forced from home by war and persecution, and he will donate author proceeds from this book to the UNHCR (the UN Refugee Agency) and The Khaled Hosseini Foundation to help fund lifesaving relief efforts to help refugees around the globe.  Khaled Hosseini is one of the most widely read writers in the world, with more than fifty-five million copies of his novels sold worldwide in more than seventy countries. Hosseini is also a Goodwill Envoy to the UNHCR, and the founder of The Khaled Hosseini Foundation, a nonprofit that provides humanitarian assistance to the people of Afghanistan.",historical-fiction
Kate Atkinson,https://images.gr-assets.com/books/1521173471l/37946414.jpg,Transcription,3.67 avg rating,"6,870 ratings",published 2018,"In 1940, eighteen-year old Juliet Armstrong is reluctantly recruited into the world of espionage. Sent to an obscure department of MI5 tasked with monitoring the comings and goings of British Fascist sympathizers, she discovers the work to be by turns both tedious and terrifying. But after the war hn  In 1940, eighteen-year old Juliet Armstrong is reluctantly recruited into the world of espionage. Sent to an obscure department of MI5 tasked with monitoring the comings and goings of British Fascist sympathizers, she discovers the work to be by turns both tedious and terrifying. But after the war has ended, she presumes the events of those years have been relegated to the past forever. Ten years later, now a radio producer at the BBC, Juliet is unexpectedly confronted by figures from her past. A different war is being fought now, on a different battleground, but Juliet finds herself once more under threat. A bill of reckoning is due, and she finally begins to realize that there is no action without consequence. Transcription is a work of rare depth and texture, a bravura modern novel of extraordinary power, wit and empathy. It is a triumphant work of fiction from one of the best writers of our time.",historical-fiction
Kate Morton,https://images.gr-assets.com/books/1526476937l/38530939.jpg,The Clockmaker's Daughter,3.88 avg rating,"6,213 ratings",published 2018,"My real name, no one remembers. The truth about that summer, no one else knows. In the summer of 1862, a group of young artists led by the passionate and talented Edward Radcliffe descends upon Birchwood Manor on the banks of the Upper Thames. Their plan: to spend a secluded summer month in a haze on  My real name, no one remembers. The truth about that summer, no one else knows.nnIn the summer of 1862, a group of young artists led by the passionate and talented Edward Radcliffe descends upon Birchwood Manor on the banks of the Upper Thames. Their plan: to spend a secluded summer month in a haze of inspiration and creativity. But by the time their stay is over, one woman has been shot dead while another has disappeared; a priceless heirloom is missing; and Edward Radcliffe’s life is in ruins.nnOver one hundred and fifty years later, Elodie Winslow, a young archivist in London, uncovers a leather satchel containing two seemingly unrelated items: a sepia photograph of an arresting-looking woman in Victorian clothing, and an artist’s sketchbook containing the drawing of a twin-gabled house on the bend of a river.nnWhy does Birchwood Manor feel so familiar to Elodie? And who is the beautiful woman in the photograph? Will she ever give up her secrets?nnBook of the Month cover record is here",historical-fiction
Eliza Graham,https://images.gr-assets.com/books/1531960433l/36597347.jpg,The Lines We Leave Behind,4.04 avg rating,"1,933 ratings",published 2018,"England, 1947: A young woman finds herself under close observation in an insane asylum, charged with a violent crime she has no memory of committing. As she tries to make sense of her recent past, she recalls very little. But she still remembers wartime in Yugoslavia. There she and her lover riskedn  England, 1947: A young woman finds herself under close observation in an insane asylum, charged with a violent crime she has no memory of committing. As she tries to make sense of her recent past, she recalls very little.nnBut she still remembers wartime in Yugoslavia. There she and her lover risked everything to carry out dangerous work resisting the Germans—a heroic campaign in which many brave comrades were lost. After that, the trail disappears into confusion. How did she come to be trapped in a living nightmare?nnAs she struggles to piece together the missing years of her life, she will have to confront the harrowing experiences of her special-operations work and peacetime marriage. Only then can she hope to regain the vital memories that will uncover the truth: is she really a violent criminal…or was she betrayed?",historical-fiction
Celeste Ng,https://images.gr-assets.com/books/1386795198l/18693763.jpg,Everything I Never Told You,3.83 avg rating,"203,498 ratings",published 2014,"Lydia is dead. But they don’t know this yet. So begins this exquisite novel about a Chinese American family living in 1970s small-town Ohio. Lydia is the favorite child of Marilyn and James Lee, and her parents are determined that she will fulfill the dreams they were unable to pursue. But when Lydin  Lydia is dead. But they don’t know this yet.nnSo begins this exquisite novel about a Chinese American family living in 1970s small-town Ohio. Lydia is the favorite child of Marilyn and James Lee, and her parents are determined that she will fulfill the dreams they were unable to pursue. But when Lydia’s body is found in the local lake, the delicate balancing act that has been keeping the Lee family together is destroyed, tumbling them into chaos. nnA profoundly moving story of family, secrets, and longing, Everything I Never Told You is both a gripping page-turner and a sensitive family portrait, uncovering the ways in which mothers and daughters, fathers and sons, and husbands and wives struggle, all their lives, to understand one another.",historical-fiction
Madeline Miller,https://images.gr-assets.com/books/1508879575l/35959740.jpg,Circe,4.35 avg rating,"49,846 ratings",published 2018,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child—not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power—the power of witchcn  In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child—not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power—the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.nnThreatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.nnBut there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.",historical-fiction
Barbara Kingsolver,https://images.gr-assets.com/books/1539624556l/37959904.jpg,Unsheltered,3.77 avg rating,"2,344 ratings",published 2018,"The New York Times bestselling author of Flight Behavior, The Lacuna, and The Poisonwood Bible and recipient of numerous literary awards—including the National Humanities Medal, the Dayton Literary Peace Prize, and the Orange Prize—returns with a timely novel that interweaves past and present to expn  The New York Times bestselling author of Flight Behavior, The Lacuna, and The Poisonwood Bible and recipient of numerous literary awards—including the National Humanities Medal, the Dayton Literary Peace Prize, and the Orange Prize—returns with a timely novel that interweaves past and present to explore the human capacity for resiliency and compassion in times of great upheaval.nnWilla Knox has always prided herself on being the embodiment of responsibility for her family. Which is why it’s so unnerving that she’s arrived at middle age with nothing to show for her hard work and dedication but a stack of unpaid bills and an inherited brick home in Vineland, New Jersey, that is literally falling apart. The magazine where she worked has folded, and the college where her husband had tenure has closed. The dilapidated house is also home to her ailing and cantankerous Greek father-in-law and her two grown children: her stubborn, free-spirited daughter, Tig, and her dutiful debt-ridden, ivy educated son, Zeke, who has arrived with his unplanned baby in the wake of a life-shattering development.nnIn an act of desperation, Willa begins to investigate the history of her home, hoping that the local historical preservation society might take an interest and provide funding for its direly needed repairs. Through her research into Vineland’s past and its creation as a Utopian community, she discovers a kindred spirit from the 1880s, Thatcher Greenwood.nnA science teacher with a lifelong passion for honest investigation, Thatcher finds himself under siege in his community for telling the truth: his employer forbids him to speak of the exciting new theory recently published by Charles Darwin. Thatcher’s friendships with a brilliant woman scientist and a renegade newspaper editor draw him into a vendetta with the town’s most powerful men. At home, his new wife and status-conscious mother-in-law bristle at the risk of scandal, and dismiss his financial worries and the news that their elegant house is structurally unsound.nnBrilliantly executed and compulsively listenable, Unsheltered is the story of two families, in two centuries, who live at the corner of Sixth and Plum, as they navigate the challenges of surviving a world in the throes of major cultural shifts. In this mesmerizing story told in alternating chapters, Willa and Thatcher come to realize that though the future is uncertain, even unnerving, shelter can be found in the bonds of kindred—whether family or friends—and in the strength of the human spirit.",historical-fiction
Mary Ellen Taylor,https://images.gr-assets.com/books/1532601262l/38462064.jpg,Winter Cottage,4.25 avg rating,630 ratings,published 2018,"A gripping novel about family secrets…and coming home for the first time. Still grieving the loss of her wandering, free-spirited mother, Lucy Kincaid leaves Nashville for the faded town of Cape Hudson, Virginia. She goes to see the house she’s inherited—one she never knew existed, bequeathed to hern  A gripping novel about family secrets…and coming home for the first time.nnStill grieving the loss of her wandering, free-spirited mother, Lucy Kincaid leaves Nashville for the faded town of Cape Hudson, Virginia. She goes to see the house she’s inherited—one she never knew existed, bequeathed to her by a woman she’s never even met. At the heart of this mystery is the hope that maybe—just maybe—this “Winter Cottage” will answer the endless questions about her mother’s past…including the identity of her birth father.nnRather than the quaint Virginian bungalow Lucy expected, Winter Cottage is a grand old estate of many shadows—big enough to hold a century of secrets, passions, and betrayals. It also comes with a handsome and enigmatic stranger, a man next in line to claim Lucy’s inheritance.nnNow, as Lucy sifts through the past, uncovering the legacy of secrets that Winter Cottage holds, she’ll come to discover as much about her family history as she does about herself. In searching, she could finally find the one thing she’s never really had: a home.",historical-fiction
Fiona Valpy,https://images.gr-assets.com/books/1501934160l/34917666.jpg,Sea of Memories,4.38 avg rating,"8,547 ratings",published 2018,"When Kendra first visits her ailing grandmother, Ella has only one request: that Kendra write her story down, before she forgets… In 1937, seventeen-year-old Ella’s life changes forever when she is sent to spend the summer on the beautiful Île de Ré and meets the charismatic, creative Christophe. Thn  When Kendra first visits her ailing grandmother, Ella has only one request: that Kendra write her story down, before she forgets…nnIn 1937, seventeen-year-old Ella’s life changes forever when she is sent to spend the summer on the beautiful Île de Ré and meets the charismatic, creative Christophe. They spend the summer together, exploring the island’s sandy beaches and crystal-clear waters, and, for the first time in her life, Ella feels truly free.nnBut the outbreak of war casts everything in a new light. Ella is forced to return to Scotland, where she volunteers for the war effort alongside the dashing Angus. In this new world, Ella feels herself drifting further and further from who she was on the Île de Ré. Can she ever find her way back? And does she want to?nnFrom the windswept Île de Ré to the rugged hills of Scotland, Sea of Memories is a spellbinding journey about the power of memory, love and second chances.",historical-fiction
Chloe  Benjamin,https://images.gr-assets.com/books/1493015963l/30288282.jpg,The Immortalists,3.73 avg rating,"55,924 ratings",published 2018,"If you knew the date of your death, how would you live your life?It's 1969 in New York City's Lower East Side, and word has spread of the arrival of a mystical woman, a traveling psychic who claims to be able to tell anyone the day they will die. The Gold children—four adolescents on the cusp of seln  If you knew the date of your death, how would you live your life?It's 1969 in New York City's Lower East Side, and word has spread of the arrival of a mystical woman, a traveling psychic who claims to be able to tell anyone the day they will die. The Gold children—four adolescents on the cusp of self-awareness—sneak out to hear their fortunes.The prophecies inform their next five decades. Golden-boy Simon escapes to the West Coast, searching for love in '80s San Francisco; dreamy Klara becomes a Las Vegas magician, obsessed with blurring reality and fantasy; eldest son Daniel seeks security as an army doctor post-9/11; and bookish Varya throws herself into longevity research, where she tests the boundary between science and immortality.A sweeping novel of remarkable ambition and depth, The Immortalists probes the line between destiny and choice, reality and illusion, this world and the next. It is a deeply moving testament to the power of story, the nature of belief, and the unrelenting pull of familial bonds.",historical-fiction
Robert Dugoni,https://images.gr-assets.com/books/1510251600l/35995489.jpg,The Extraordinary Life of Sam Hell,4.36 avg rating,"14,038 ratings",published 2018,"From #1 Wall Street Journal and New York Times bestselling author Robert Dugoni. Sam Hill always saw the world through different eyes. Born with red pupils, he was called “Devil Boy” by his classmates; “God’s will” is what his mother called his ocular albinism. Her words were of little comfort, butn  From #1 Wall Street Journal and New York Times bestselling author Robert Dugoni.nnSam Hill always saw the world through different eyes. Born with red pupils, he was called “Devil Boy” by his classmates; “God’s will” is what his mother called his ocular albinism. Her words were of little comfort, but Sam persevered, buoyed by his mother’s devout faith, his father’s practical wisdom, and his two other misfit friends.nnSam believed it was God who sent Ernie Cantwell, the only African American kid in his class, to be the friend he so desperately needed. And that it was God’s idea for Mickie Kennedy to storm into Our Lady of Mercy like a tornado, uprooting every rule Sam had been taught about boys and girls.nnForty years later, Sam, a small-town eye doctor, is no longer certain anything was by design—especially not the tragedy that caused him to turn his back on his friends, his hometown, and the life he’d always known. Running from the pain, eyes closed, served little purpose. Now, as he looks back on his life, Sam embarks on a journey that will take him halfway around the world. This time, his eyes are wide open—bringing into clear view what changed him, defined him, and made him so afraid, until he can finally see what truly matters.",historical-fiction
Min Jin Lee,https://images.gr-assets.com/books/1529845599l/34051011.jpg,Pachinko,4.26 avg rating,"76,770 ratings",published 2017,"Yeongdo, Korea 1911. In a small fishing village on the banks of the East Sea, a club-footed, cleft-lipped man marries a fifteen-year-old girl. The couple have one child, their beloved daughter Sunja. When Sunja falls pregnant by a married yakuza, the family face ruin. But then Isak, a Christian minin  Yeongdo, Korea 1911. In a small fishing village on the banks of the East Sea, a club-footed, cleft-lipped man marries a fifteen-year-old girl. The couple have one child, their beloved daughter Sunja. When Sunja falls pregnant by a married yakuza, the family face ruin. But then Isak, a Christian minister, offers her a chance of salvation: a new life in Japan as his wife. Following a man she barely knows to a hostile country in which she has no friends, no home, and whose language she cannot speak, Sunja’s salvation is just the beginning of her story. Through eight decades and four generations, Pachinko is an epic tale of family, identity, love, death and survival. ",historical-fiction
