Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Paula Brackston,https://images.gr-assets.com/books/1534190128l/31450585.jpg,The Little Shop of Found Things (The Little Shop of Found Things #1),3.85 avg rating,586 ratings,published 2018,"A new series about a young woman whose connection to antiques takes her on a magical adventure, reminiscent of Outlander New York Times bestselling author of The Witch's Daughter Paula Brackston returns to her trademark blend of magic and romance to launch a new series guaranteed to enchant her audin  A new series about a young woman whose connection to antiques takes her on a magical adventure, reminiscent of OutlandernnNew York Times bestselling author of The Witch's Daughter Paula Brackston returns to her trademark blend of magic and romance to launch a new series guaranteed to enchant her audience even more.nnXanthe and her mother Flora leave London behind for a fresh start, taking over an antique shop in the historic town of Marlborough. Xanthe has always had an affinity with some of the antiques she finds. When she touches them, she can sense something of the past they come from and the stories they hold. So when she has an intense connection to a beautiful silver chatelaine she has to know more.nnIt’s while she’s examining the chatelaine that she’s transported back to the seventeenth century. And shortly after, she's confronted by a ghost who reveals that this is where the antique has its origins. The ghost tasks Xanthe with putting right the injustice in its story to save an innocent girl’s life, or else it’ll cost her Flora’s.nnWhile Xanthe fights to save her amid the turbulent days of 1605, she meets architect Samuel Appleby. He may be the person who can help her succeed. He may also be the reason she can’t bring herself to leave.nnWith its rich historical detail, strong mother-daughter relationship, and picturesque English village, The Little Shop of Found Things is poised to be a strong start to this new series.",historical-fiction
Edward Carey,https://images.gr-assets.com/books/1523724459l/38649806.jpg,Little,4.28 avg rating,239 ratings,published 2018,"The wry, macabre, unforgettable tale of an ambitious orphan in Revolutionary Paris, befriended by royalty and radicals, who transforms herself into the legendary Madame Tussaud. In 1761, a tiny, odd-looking girl named Marie is born in a village in Switzerland. After the death of her parents, she isn  The wry, macabre, unforgettable tale of an ambitious orphan in Revolutionary Paris, befriended by royalty and radicals, who transforms herself into the legendary Madame Tussaud. nnIn 1761, a tiny, odd-looking girl named Marie is born in a village in Switzerland. After the death of her parents, she is apprenticed to an eccentric wax sculptor and whisked off to the seamy streets of Paris, where they meet a domineering widow and her quiet, pale son. Together, they convert an abandoned monkey house into an exhibition hall for wax heads, and the spectacle becomes a sensation. As word of her artistic talent spreads, Marie is called to Versailles, where she tutors a princess and saves Marie Antoinette in childbirth. But outside the palace walls, Paris is roiling: The revolutionary mob is demanding heads, and . . . at the wax museum, heads are what they do.nnIn the tradition of Gregory Maguire's Wicked and Erin Morgenstern's The Night Circus, Edward Carey's Little is a darkly endearing cavalcade of a novel--a story of art, class, determination, and how we hold on to what we love.",historical-fiction
Anna Godbersen,https://images.gr-assets.com/books/1518818936l/36501779.jpg,When We Caught Fire,3.14 avg rating,146 ratings,published 2018,"It’s 1871 and Emmeline Carter is poised to take Chicago’s high society by storm. Between her father’s sudden rise to wealth, and her recent engagement to Chicago’s most eligible bachelor, Emmeline has it all. But she can’t stop thinking about the life she left behind, including her childhood sweethen  It’s 1871 and Emmeline Carter is poised to take Chicago’s high society by storm. Between her father’s sudden rise to wealth, and her recent engagement to Chicago’s most eligible bachelor, Emmeline has it all. But she can’t stop thinking about the life she left behind, including her childhood sweetheart, Anders Magnuson. Fiona Byrne, Emmeline’s childhood best friend, is delighted by her friend’s sudden rise to prominence, especially since it means Fiona is free to pursue Anders herself. But when Emmeline risks everything for one final fling with Anders, Fiona feels completely betrayed.nnAs the summer turns to fall, the city is at a tipping point: friendships are tested, hearts are broken, and the tiniest spark might set everything ablaze. Sweeping, soapy, and romantic, this is a story about an epic love triangle—one that will literally set the city ablaze, and change the lives of three childhood friends forever.",historical-fiction
Kerri Maher,https://images.gr-assets.com/books/1526649949l/37969770.jpg,The Kennedy Debutante,3.96 avg rating,472 ratings,published 2018," A captivating novel following the exploits of Kathleen ""Kick"" Kennedy, the forgotten and rebellious daughter of one of America's greatest political dynasties. London, 1938. The effervescent ""It girl"" of London society since her father was named the ambassador, Kathleen ""Kick"" Kennedy moves in rarifn  n  n    A captivating novel following the exploits of Kathleen ""Kick"" Kennedy, the forgotten and rebellious daughter of one of America's greatest political dynasties.n  nLondon, 1938. The effervescent ""It girl"" of London society since her father was named the ambassador, Kathleen ""Kick"" Kennedy moves in rarified circles, rubbing satin-covered elbows with some of the 20th century's most powerful figures. Eager to escape the watchful eye of her strict mother, Rose, the antics of her older brothers, Jack and Joe, and the erratic behavior of her sister Rosemary, Kick is ready to strike out on her own and is soon swept off her feet by Billy Hartington, the future Duke of Devonshire.But their love is forbidden, as Kick's devout Catholic family and Billy's staunchly Protestant one would never approve their match. When war breaks like a tidal wave across her world, Billy is ripped from her arms as the Kennedys are forced to return to the States. Kick gets work as a journalist and joins the Red Cross to get back to England, where she will have to decide where her true loyalties lie—with family or with love . . .",historical-fiction
Mackenzi Lee,https://images.gr-assets.com/books/1533146078l/40742905.jpg,"The Gentleman’s Guide to Getting Lucky (Montague Siblings, #1.5)",4.46 avg rating,"1,003 ratings",published 2018,"In The Gentleman’s Guide to Getting Lucky, Monty’s epic grand tour may be over, but now that he and Percy are finally a couple, he realizes there is something more nerve-wracking than being chased across Europe: getting together with the person you love. Will the romantic allure of Santorini make hin  In The Gentleman’s Guide to Getting Lucky, Monty’s epic grand tour may be over, but now that he and Percy are finally a couple, he realizes there is something more nerve-wracking than being chased across Europe: getting together with the person you love. Will the romantic allure of Santorini make his first time with Percy magical, or will all the anticipation and build-up completely spoil the mood?",historical-fiction
Jean Thompson,https://images.gr-assets.com/books/1532867071l/38532222.jpg,A Cloud in the Shape of a Girl,3.50 avg rating,182 ratings,published 2018,"From National Book Award finalist and the New York Times bestselling author of The Year We Left Home comes a moving family saga about three generations of women who struggle to find freedom and happiness in their small Midwestern college town.A Cloud in the Shape of a Girl is a poignant novel aboutn  From National Book Award finalist and the New York Times bestselling author of The Year We Left Home comes a moving family saga about three generations of women who struggle to find freedom and happiness in their small Midwestern college town.A Cloud in the Shape of a Girl is a poignant novel about three generations of the Wise family—Evelyn, Laura, and Grace—as they hunt for contentment amid chaos of their own making.Evelyn set aside her career to marry, late, and motherhood never became her. Her daughter Laura felt this acutely and wants desperately to marry, but she soon discovers her husband Gabe to be a man who expects too much of everyone in his life, especially his musician son. Grace has moved out from Laura and Gabe’s house, but can’t seem to live up to her potential—whatever that might be.In A Cloud in the Shape of a Girl we see these women and their trials, small and large: social slights and heartbreaks; marital disappointments and infidelities; familial dysfunction; mortality. Spanning from World War II to the present, Thompson reveals a matrilineal love story that is so perfectly grounded in our time—a story of three women regressing, stalling, and yes, evolving, over decades. One of the burning questions she asks is: by serving her family, is a woman destined to repeat the mistakes of previous generations, or can she transcend the expectations of a place, and a time? Can she truly be free?Evelyn, Laura, and Grace are the glue that binds their family together. Tethered to their small Midwestern town—by choice or chance—Jean Thompson seamlessly weaves together the stories of the Wise women with humanity and elegance, through their heartbreaks, setbacks, triumphs, and tragedies.",historical-fiction
Bernard Cornwell,https://images.gr-assets.com/books/1526598322l/37819082.jpg,"War of the Wolf (The Saxon Stories, #11)",4.36 avg rating,"1,055 ratings",published 2018,"Bernard Cornwell’s epic story of the making of England continues in this eleventh installment in the bestselling Saxon Tales series—""like Game of Thrones, but real"" (The Observer)—the basis of the hit Netflix television series The Last Kingdom. His blood is SaxonHis heart is VikingHis battleground in  Bernard Cornwell’s epic story of the making of England continues in this eleventh installment in the bestselling Saxon Tales series—""like Game of Thrones, but real"" (The Observer)—the basis of the hit Netflix television series The Last Kingdom.nnHis blood is SaxonHis heart is VikingHis battleground is Englandnn""Perhaps the greatest writer of historical adventure novels today"" (Washington Post), Bernard Cornwell has dazzled and entertained readers and critics with his page-turning bestsellers. Of all his protagonists, however, none is as beloved as Uhtred of Bebbanburg.nnAnd while Uhtred might have regained his family’s fortress, it seems that a peaceful life is not to be – as he is under threat from both an old enemy and a new foe. The old enemy comes from Wessex where a dynastic struggle will determine who will be the next king.  And the new foe is Sköll, a Norseman, whose ambition is to be King of Northumbria and who leads a frightening army of wolf-warriors, men who fight half-crazed in the belief that they are indeed wolves. Uhtred, believing he is cursed, must fend off one enemy while he tries to destroy the other. In this new chapter of the Saxon Tales series—a rousing adventure of courage, treachery, duty, devotion, majesty, love and battle, as seen through the eyes of a warrior straddling two worlds—Uhtred returns to fight once again for the destiny of England.",historical-fiction
Sherry Thomas,https://images.gr-assets.com/books/1516121307l/36342330.jpg,"The Hollow of Fear (Lady Sherlock, #3)",4.30 avg rating,"1,176 ratings",published 2018,"Charlotte Holmes, Lady Sherlock, returns in the Victorian-set mystery series from the USA Today bestselling author of A Conspiracy in Belgravia and A Study in Scarlet Women, an NPR Best Book of 2016. Under the cover of “Sherlock Holmes, consulting detective,” Charlotte Holmes puts her extraordinaryn  Charlotte Holmes, Lady Sherlock, returns in the Victorian-set mystery series from the USA Today bestselling author of A Conspiracy in Belgravia and A Study in Scarlet Women, an NPR Best Book of 2016.nnUnder the cover of “Sherlock Holmes, consulting detective,” Charlotte Holmes puts her extraordinary powers of deduction to good use. Aided by the capable Mrs. Watson, Charlotte draws those in need to her and makes it her business to know what other people don’t.nnMoriarty’s shadow looms large. First, Charlotte’s half brother disappears. Then, Lady Ingram, the estranged wife of Charlotte’s close friend Lord Ingram, turns up dead on his estate. And all signs point to Lord Ingram as the murderer.nnWith Scotland Yard closing in, Charlotte goes under disguise to seek out the truth. But uncovering the truth could mean getting too close to Lord Ingram—and a number of malevolent forces…",historical-fiction
Marjorie Herrera Lewis,https://images.gr-assets.com/books/1521937808l/36461456.jpg,When the Men Were Gone: A Novel,3.80 avg rating,260 ratings,published 2018,"In Marjorie Herrera Lewis’s debut historical novel the inspiring true story of high school teacher Tylene Wilson—a woman who surprises everyone as she breaks with tradition to become the first high school football coach in Texas—comes to life. Football is the heartbeat of Brownwood, Texas. Every Frin  In Marjorie Herrera Lewis’s debut historical novel the inspiring true story of high school teacher Tylene Wilson—a woman who surprises everyone as she breaks with tradition to become the first high school football coach in Texas—comes to life.nnFootball is the heartbeat of Brownwood, Texas. Every Friday night for as long as assistant principal Tylene Wilson can remember, the entire town has gathered in the stands, cheering their boys on. Each September brings with it the hope of a good season and a sense of unity and optimism.nnNow, the war has changed everything.  Most of the Brownwood men over 18 and under 45 are off fighting, and in a small town, the possibilities are limited. Could this mean a season without football? But no one counted on Tylene, who learned the game at her daddy’s knee. She knows more about it than most men, so she does the unthinkable, convincing the school to let her take on the job of coach.nnFaced with extreme opposition—by the press, the community, rival coaches, and referees and even the players themselves—Tylene remains resolute. And when her boys rally around her, she leads the team—and the town—to a Friday night and a subsequent season they will never forget.           nnBased on a true story, When the Men Were Gone is a powerful and vibrant novel of perseverance and personal courage.",historical-fiction
Alyssa Palombo,https://images.gr-assets.com/books/1518735247l/37638211.jpg,The Spellbook of Katrina Van Tassel: A Story of Sleepy Hollow,3.83 avg rating,384 ratings,published 2018,"When Ichabod Crane arrives in the spooky little village of Sleepy Hollow as the new schoolmaster, Katrina Van Tassel is instantly drawn to him. Through their shared love of books and music, they form a friendship that quickly develops into romance. Ichabod knows that as an itinerant schoolteacher ofn  When Ichabod Crane arrives in the spooky little village of Sleepy Hollow as the new schoolmaster, Katrina Van Tassel is instantly drawn to him. Through their shared love of books and music, they form a friendship that quickly develops into romance. Ichabod knows that as an itinerant schoolteacher of little social standing, he has nothing to offer the wealthy Katrina – unlike her childhood friend-turned-enemy, Brom Van Brunt, who is the suitor Katrina’s father favors.nnBut when romance gives way to passion, Ichabod and Katrina embark on a secret love affair, sneaking away into the woods after dark to be together – all while praying they do not catch sight of Sleepy Hollow’s legendary Headless Horseman. That is, until All Hallows’s Eve, when Ichabod suddenly disappears, leaving Katrina alone and in a perilous position.nnEnlisting the help of her friend – and rumored witch – Charlotte Jansen, Katrina seeks the truth of Ichabod Crane’s disappearance, investigating the forest around Sleepy Hollow using unconventional – often magical – means. What they find forces Katrina to question everything she once knew, and to wonder if the Headless Horseman is perhaps more than just a story after all. In Alyssa Palombo's The Spellbook of Katrina Van Tassel nothing is as it seems, and love is a thing even death won't erase.",historical-fiction
Cindy Anstey,https://images.gr-assets.com/books/1521953630l/36662178.jpg,Carols and Chaos,3.52 avg rating,71 ratings,published 2018,"A lady's maid and a valet become entangled in a yuletide counterfeiting scheme in this romantic Christmas YA adventure. 1817. The happy chaos of the Yuletide season has descended upon the country estate of Shackleford Park in full force, but lady's maid Kate Darby barely has the time to notice. Betwn  A lady's maid and a valet become entangled in a yuletide counterfeiting scheme in this romantic Christmas YA adventure.nn1817. The happy chaos of the Yuletide season has descended upon the country estate of Shackleford Park in full force, but lady's maid Kate Darby barely has the time to notice. Between her household duties, caring for her ailing mother, and saving up money to someday own a dress shop, her hands are quite full. Matt Harlow is also rather busy. He's performing double-duty, acting as valet for both of the Steeple brothers, two of the estate's holiday guests. nnFalling in love would be a disaster for either of them. But staving off their feelings for each other becomes the least of their problems when a devious counterfeiting scheme reaches the gates of Shackleford Park, and Kate and Matt are unwittingly swept up in the intrigue. Full of sweetness, charm, and holiday shenanigans, Carols and Chaos is perfect for fans of Jane Austen and Downton Abbey.",historical-fiction
Jessica Cluess,https://images.gr-assets.com/books/1518035731l/36443576.jpg,"A Sorrow Fierce and Falling (Kingdom on Fire, #3)",4.11 avg rating,301 ratings,published 2018,"It’s time for war. After suffering terrible losses, Henrietta and Lord Blackwood have led their warriors to Sorrow-Fell, a vast estate where only those invited by a Blackwood may enter–and the ideal place to plan a final assault against the Ancients. It’s time for a wedding. Henrietta nervously awain  It’s time for war.nnAfter suffering terrible losses, Henrietta and Lord Blackwood have led their warriors to Sorrow-Fell, a vast estate where only those invited by a Blackwood may enter–and the ideal place to plan a final assault against the Ancients.nnIt’s time for a wedding.nnHenrietta nervously awaits her marriage to Blackwood, but when the ritual to become his bride reveals a dark secret, she realizes that Sorrow-Fell is not a safe haven; it’s a trap. Convincing the sorcerers of this, however, is not easy. So with Maria, the true chosen one, and Magnus, the young man who once stole her heart, at her side, Henrietta plots a dangerous journey straight into the enemy’s lair. Some will live. Some will die. All will be tested.nnIn this stunning conclusion to the Kingdom on Fire series, Henrietta must choose between the love from her past, the love from her present, and a love that could define her future. While battles rage, the fate of the kingdom rests on her decision: Will she fall or rise up to become the woman who saves the realm?nnIt’s time for Henrietta to make her stand.",historical-fiction
